release_id,artist,release_title,track_count,issue_count,issue_types,admin_url
legacy-release-11985,Yximalloo,Yximalloo Plays Yximalloo,44,42,duration_in_title,https://admin.vod-auctions.com/app/media/legacy-release-11985
legacy-release-10682,Opera Multi Steel,Orcades Machinales Volume 1 & 2,60,31,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10682
legacy-release-1045,Cinéma Vérité,Der Weisse Rausch,56,29,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1045
legacy-release-12135,Holy Atheist,Was zum Teufel,38,20,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-12135
legacy-release-10903,God Knows the Absence,One Hour of your lives,32,16,duration_in_title,https://admin.vod-auctions.com/app/media/legacy-release-10903
legacy-release-1125,Co-Mix,Co-Mix,30,16,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1125
legacy-release-10506,Happy Straps,What A Pleasure,26,14,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10506
legacy-release-10674,Bene Gesserit,Live in Beligium and Holland,27,14,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10674
legacy-release-11127,Vandal X,Atrocity,26,14,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11127
legacy-release-10699,Felix Menkar,Primer Ejercicio,26,13,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10699
legacy-release-11680,Mental Measuretech,Songs From Neuropa,22,12,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11680
legacy-release-10956,Larry Wendt,Guided Missile Favorites,27,10,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10956
legacy-release-11303,Artless Time,Shells from the Italian (A)isle,16,9,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11303
legacy-release-12079,Edgar Zaksek,This Perfect Day,12,7,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-12079
legacy-release-1139,Colin Potter,A Gain,15,6,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1139
legacy-release-1185,Con-Dom,Dragged into the gutter / the broken flag tape,10,6,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1185
legacy-release-10812,Dominator,1,5,5,duration_in_title,https://admin.vod-auctions.com/app/media/legacy-release-10812
legacy-release-11090,Todd Barton,Excerpts,7,5,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11090
legacy-release-11318,Aki Domo & Hans-Wolfgang Von Heldenleben,Vista,8,5,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11318
legacy-release-1133,Colin Potter,Here,8,5,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1133
legacy-release-10554,Merzbow / Secrets,Live Performance,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10554
legacy-release-10802,Brume,Headache,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10802
legacy-release-10902,Glad Corp,Glad Corp,5,4,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10902
